TFandCF_SCREENING
ATF6
BARHL2
BARX2
CLOCK
ERF
ESRRB
ETV4
FOXD4L1
GATA6
HEYL
HIC1
HOXA3
HOXA4
HOXA7
HOXC6
HOXD1
KLF1
LHX6
MSGN1
NFATC4
TRPS1
ZNF215
ZNF763
ZNF783
AFF3
AHR
BATF2
CEBPA
FEZF1
FOXG1
GATA5
HOXA9
IRF5
JUND
MITF
NFKB2
NR1H3
NR3C2
PAX3
PLAGL2
POU4F3
REST
TCF3
TCF7L1
TGIF2
VDR
ZBTB38
ZIC1
ZNF395
ZNF667
ZNF707
ARNTL
CDX1
CDX2
CSRNP1
E2F2
ETS2
ETV3
FOXD3
FOXE1
FOXE3
FOXJ1
FOXL1
FOXO6
GPBP1
GSC2
HOXA5
HOXB2
HOXC13
HSF4
JDP2
MYF6
NFIB
NKX2-8
NKX6-2
PBX2
POU4F2
RFX2
RUNX1
TBX19
ZBTB7A
ZGPAT
ZNF175
ASCL1
ASCL4
BATF3
E2F7
ELF5
FOXP1
GMEB1
HOXB1
HOXB4
IRF3
IRF9
JUNB
KLF15
LEF1
MAFB
MEF2B
MSC
MYOD1
MYPOP
PURB
RARB
SOX10
SOX11
SP4
SPIC
SRY
TEAD4
TLX1
TP53
ZBTB24
ZNF212
ZNF350
ZNF746
BCL11B
DMTF1
ESRRA
FEV
FOXM1
FOXO3
FOXP3
FOXP4
FOXR1
GTF2I
HNF4A
HOXA6
HOXD3
HSFY1
MESP2
NFIC
NKX2-6
NR3C1
NR4A2
PAX7
POU3F4
RXRB
SNAI3
TBX1
TFCP2L1
TFDP1
TGIF1
ZBTB7B
ZEB1
ZNF639
ZNF91
ATOH7
DUXA
GFI1B
ISL2
KLF13
MYBL2
NEUROG2
NKX6-3
OSR1
SP5
SP9
UNCX
WIZ
ZIM3
ZNF202
ZNF333
ZNF547
ZNF577
ZNF727
ZSCAN5B
ATMIN
HAND2
HOXB13
MYB
OVOL3
PCBP1
PGBD1
PROX2
PRRX1
SIX5
ZNF169
ZNF23
ZNF28
ZNF3
ZNF316
ZNF32
ZNF341
ZNF416
ZNF423
ZNF491
ZNF496
ZNF529
ZNF540
ZNF611
ZNF670
ZNF688
ZNF813
ZNF878
DMRT3
DMRTC2
DRGX
EMX1
FERD3L
IRX1
IRX2
ISX
LBX2
LMX1A
MSX1
MXD1
PROP1
SATB2
SIX3
TFAP4
ZBED6
ZFHX4
ZIM2
ZKSCAN1
ZNF141
ZNF25
ZNF253
ZNF292
ZNF454
ZNF514
ZNF576
ZNF644
ZNF648
ZNF655
ZNF696
ZNF705B
ZNF891
ZSCAN2
ZSCAN21
ZSCAN5A
BHLHA9
BHLHE23
GBX1
HIVEP1
HOXC11
ISL1
KLF14
LHX9
MEIS2
NEUROD6
NKX1-1
OSR2
SHOX
SP140
TGIF2LX
ZBED3
ZNF121
ZNF124
ZNF280B
ZNF324
ZNF461
ZNF518B
ZNF527
ZNF627
ZNF772
ZNF844
ZNF853
ZNF98
ZSCAN30
ZSCAN9
DDN
DEAF1
DPRX
HES4
HMX3
MNX1
MXI1
MYNN
NACC1
NHLH1
SALL2
SCX
SP110
TSHZ2
ZBTB41
ZFP82
ZNF177
ZNF205
ZNF24
ZNF260
ZNF331
ZNF510
ZNF519
ZNF579
ZNF616
ZNF646
ZNF676
ZNF680
ZNF716
ZNF736
ZNF761
ZNF777
ZSCAN32
ATRX
CCDC169-SOHLH2
CHEK2
CNBP
ENG
HMGA1
KDM1A
NSD1
RUVBL2
SFPQ
SUPT5H
ZNF225
AJUBA
BPTF
BRCA2
CCAR1
DMAP1
LIN52
NUP107
PATZ1
RUVBL1
SAP30BP
SPIN3
SUFU
SUPT20HL1
TAF5L
ZNF703
ACTR5
ACTRT1
AHRR
DENND4A
DR1
EZH2
GTF2H3
KEAP1
KRBA1
MAGED1
MAPK14
MTA2
PQBP1
PSPC1
RNF14
RNF141
SAP130
SETD2
SMARCC1
SPIN4
SPTY2D1
TAF6L
VGLL2
YEATS2
ZNF484
ZNF485
ZNF488
ZNF544
ZNF71
ZNF717
ZNF808
APBB2
ATXN1L
CCNL1
DHRS7B
NLK
PPARGC1B
PPP1R13L
PRDM8
RB1
REXO4
SBNO2
SSX2B
VGLL4
ZNF747
ZZZ3
ABL1
AEBP2
BRD3
BTG1
FUBP1
ITGB3BP
MED1
NONO
NOTCH1
RERE
RPS6KA5
SFMBT2
TCERG1L
TFDP3
ZNF473
NLRC5
PER1
SNAPC3
HDAC4
SUZ12
WBP2
ZNF384
ZNF48
ZNF572
CALCOCO1
FEZF2
LITAF
TOP1
ZNF750
PLAGL1
YAP1
ZBTB12
ACTB
BCL7A
BRD9
CHD6
BAZ2B
ERCC6L
PAK1
SMARCE1
BTAF1
CHD1
DEK
KDM5B
MBD2
POLE3
BCL7C
MYO1C
PBRM1
EZH1
KDM4A
KDM5D
PADI4
ALKBH4
CBX2
CBX4
CBX7
COPRS
DPY30
HDAC7
KDM8
MSL1
PRDM6
UTP3
ARID4A
ASF1A
BCOR
MEN1
PKN1
SETD1A
SS18L1
USP3
CBX8
DNAJC2
EPC2
FAM50B
HMGN3
METTL4
PHF13
RCOR1
RING1
RRP8
USP16
HDAC8
KDM3B
KMT2E
BCORL1
TET3
VCX
UFL1
STAG3
