CF_NAME
Actl6a
Actr6
Arid1a
Arid1b
Arid2
Asf1b
Ash1l
Ash2l
Asxl2
Atf7ip
Baz1b
Bcl11a
Brd9
Carm1
Cbx3
Cbx6
Cbx7
Cebpa
Chaf1a
Chaf1b
Chd1
Chd4
Chmp2a
Crebbp
Ctcf
Cxxc1
Dnmt1
Dot1l
Dpf2
Dpy30
Ehmt1
Ehmt2
Eif3b
Eif3d
Gatad1
Gltscr1l
Hcfc1
Hdac1
Hdac3
Hdac4
Hdac7
Kat5
Kat6a
Kat8
Kdm1a
Kdm3a
Kdm5a
Kdm6a
Kdm6b
Kdm7a
Kmt2a
Kmt2b
Kmt2d
Kti12
L3mbtl3
Mau2
Mbd1
Mbtps1
Mecom
Med1
Med11
Med12
Med14
Med20
Med23
Med25
Med31
Med7
Med8
Men1
Morf4l1
Mtf2
Ncapd3
Ncoa6
Nfrkb
Nipbl
Nup153
Nup62
Nup85
Paxip1
Pbrm1
Pds5a
Phb2
Phc3
Phf12
Phf5a
Pole3
Prmt1
Prmt5
Rad21
Rbbp4
Rbbp5
Rcor1
Sap30
Sap30bp
Setbp1
Setd1b
Setd8
Setdb1
Smarca4
Smarca5
Smarcad1
Smarcb1
Smarcc1
Smarcd2
Smarce1
Smc1a
Smc2
Smc3
Sp1
Spi1
Ss18
Ssrp1
Stag2
Supt16
Suv39h1
Uhrf1
Wdr5
Wdr82
Yeats4
Zmynd8
Znhit1
